Name;Position;StatAtt;StatDef;TeamNr;Nationality;BirthDate;FullName
Butland;G;0;87;1;english;1993-03-10;Jack Butland
McCarthy;G;0;71;1;english;1989-12-03;Alex McCarthy
Pickford;G;0;90;1;english;1994-03-07;Jordan Pickford
Alexander-Arnold;D;40;83;1;english;1998-10-07;Trent Alexander-Arnold
Gomez;D;11;85;1;english;1997-05-23;Joe Gomez
Maguire;D;15;92;1;english;1993-03-05;Harry Maguire
Rose;D;43;89;1;english;1990-07-02;Danny Rose
Shaw;D;45;83;1;english;1995-07-12;Luke Shaw
Stones;D;14;93;1;english;1994-05-28;John Stones
Tarkowski;D;15;84;1;english;1992-11-19;James Tarkowski
Trippier;D;49;89;1;english;1990-09-19;Kieran Trippier
Walker;D;48;92;1;english;1990-05-28;Kyle Walker
Alli;M;96;93;1;english;1996-04-11;Dele Alli
Delph;M;83;85;1;english;1989-11-21;Fabian Delph
Dier;M;89;94;1;english;1994-01-15;Eric Dier
Gray;M;89;83;1;english;1996-06-28;Demarai Gray
Henderson;M;89;89;1;english;1990-06-17;Jordan Henderson
Loftus-Cheek;M;86;84;1;english;1996-01-23;Ruben Loftus-Cheek
Kane;A;97;15;1;english;1993-07-28;Harry Kane
Lingard;A;91;45;1;english;1992-12-15;Jesse Lingard
Rashford;A;90;10;1;english;1997-10-31;Marcus Rashford
Sterling;A;94;47;1;english;1994-12-08;Raheem Sterling
Welbeck;A;84;17;1;english;1990-11-26;Danny Welbeck
Cillessen;G;0;87;2;dutch;1989-04-22;Jasper Cillessen
Padt;G;0;74;2;dutch;1990-06-06;Sergio Padt
Zoet;G;0;80;2;dutch;1991-01-06;Jeroen Zoet
Aké;D;13;83;2;dutch;1995-02-18;Nathan Aké
Blind;D;18;86;2;dutch;1990-03-09;Daley Blind
de Ligt;D;9;86;2;dutch;1999-08-12;Matthijs de Ligt
de Vrij;D;16;91;2;dutch;1992-02-05;Stefan de Vrij
Janmaat;D;45;76;2;dutch;1989-07-22;Daryl Janmaat
Tete;D;40;78;2;dutch;1995-10-09;Kenny Tete
van Aanholt;D;42;79;2;dutch;1990-08-29;Patrick van Aanholt
van Dijk;D;17;92;2;dutch;1991-07-08;Virgil van Dijk
Babel;M;89;83;2;dutch;1986-12-19;Ryan Babel
de Jong F.;M;78;76;2;dutch;1997-05-12;Frenkie de Jong
de Roon;M;83;84;2;dutch;1991-03-29;Marten de Roon
Pröpper;M;85;83;2;dutch;1991-09-02;Davy Pröpper
Strootman;M;89;89;2;dutch;1990-02-13;Kevin Strootman
van de Beek;M;81;81;2;dutch;1997-04-18;Donny van de Beek
Vormer;M;83;82;2;dutch;1988-05-11;Ruud Vormer
Wijnaldum;M;88;90;2;dutch;1990-11-11;Georginio Wijnaldum
de Jong L.;A;78;18;2;dutch;1990-08-27;Luuk de Jong
Depay;A;92;44;2;dutch;1994-02-13;Memphis Depay
Kluivert;A;79;36;2;dutch;1999-05-05;Justin Kluivert
Promes;A;88;40;2;dutch;1992-01-04;Quincy Promes
